Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.415456+00:00] Imported: 205, batch_size: 50
[2022-12-14 20:32:02.416839+00:00] Imported: 206, batch_size: 50
[2022-12-14 20:32:02.418268+00:00] Imported: 207, batch_size: 50
[2022-12-14 20:32:02.419743+00:00] Imported: 208, batch_size: 50
[2022-12-14 20:32:02.421558+00:00] Imported: 209, batch_size: 50
[2022-12-14 20:32:02.423476+00:00] Imported: 210, batch_size: 50
[2022-12-14 20:32:02.425039+00:00] Imported: 211, batch_size: 50
[2022-12-14 20:32:02.426534+00:00] Imported: 212, batch_size: 50
[2022-12-14 20:32:02.430711+00:00] Imported: 213, batch_size: 50
[2022-12-14 20:32:02.432405+00:00] Imported: 214, batch_size: 50
[2022-12-14 20:32:02.433840+00:00] Imported: 215, batch_size: 50
[2022-12-14 20:32:02.435236+00:00] Imported: 216, batch_size: 50
[2022-12-14 20:32:02.436631+00:00] Imported: 217, batch_size: 50
[2022-12-14 20:32:02.438246+00:00] Imported: 218, batch_size: 50
[2022-12-14 20:32:02.439741+00:00] Imported: 219, batch_size: 50
[2022-12-14 20:32:02.441120+00:00] Imported: 220, batch_size: 50
[2022-12-14 20:32:02.442514+00:00] Imported: 221, batch_size: 50
[2022-12-14 20:32:02.444058+00:00] Imported: 222, batch_size: 50
[2022-12-14 20:32:02.445604+00:00] Imported: 223, batch_size: 50
[2022-12-14 20:32:02.446985+00:00] Imported: 224, batch_size: 50
[2022-12-14 20:32:02.448317+00:00] Imported: 225, batch_size: 50
[2022-12-14 20:32:02.449837+00:00] Imported: 226, batch_size: 50
[2022-12-14 20:32:02.451356+00:00] Imported: 227, batch_size: 50
[2022-12-14 20:32:02.453040+00:00] Imported: 228, batch_size: 50
[2022-12-14 20:32:02.454698+00:00] Imported: 229, batch_size: 50
[2022-12-14 20:32:02.456167+00:00] Imported: 230, batch_size: 50
[2022-12-14 20:32:02.457567+00:00] Imported: 231, batch_size: 50
[2022-12-14 20:32:02.458908+00:00] Imported: 232, batch_size: 50
[2022-12-14 20:32:02.460303+00:00] Imported: 233, batch_size: 50
[2022-12-14 20:32:02.461696+00:00] Imported: 234, batch_size: 50
[2022-12-14 20:32:02.463034+00:00] Imported: 235, batch_size: 50
[2022-12-14 20:32:02.464390+00:00] Imported: 236, batch_size: 50
[2022-12-14 20:32:02.465814+00:00] Imported: 237, batch_size: 50
[2022-12-14 20:32:02.467228+00:00] Imported: 238, batch_size: 50
[2022-12-14 20:32:02.468583+00:00] Imported: 239, batch_size: 50
[2022-12-14 20:32:02.469928+00:00] Imported: 240, batch_size: 50
[2022-12-14 20:32:02.471262+00:00] Imported: 241, batch_size: 50
[2022-12-14 20:32:02.472684+00:00] Imported: 242, batch_size: 50
[2022-12-14 20:32:02.474047+00:00] Imported: 243, batch_size: 50
[2022-12-14 20:32:02.475379+00:00] Imported: 244, batch_size: 50
[2022-12-14 20:32:02.476734+00:00] Imported: 245, batch_size: 50
[2022-12-14 20:32:02.478149+00:00] Imported: 246, batch_size: 50
[2022-12-14 20:32:02.479525+00:00] Imported: 247, batch_size: 50
[2022-12-14 20:32:02.480878+00:00] Imported: 248, batch_size: 50
[2022-12-14 20:32:02.482227+00:00] Imported: 249, batch_size: 50
[2022-12-14 20:32:02.483723+00:00] Imported: 250, batch_size: 50
[2022-12-14 20:32:02.485130+00:00] Imported: 251, batch_size: 50
